Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3427.0,20-Sep-19,Production Technician I,CCDR,1,Contract,Zone C,Temporary,Production       ,Finance & Accounting,07-10-1969,MA,Female,White,Widowed,Fully Meets,4.0,14-01-2023,1.0,2.0,3.0,15-Jul-23,Leadership Development,Internal,Failed,2.0,606.11,50.0
3428.0,11-Feb-23,Production Technician I,EW,1,Contract,Zone A,Part-Time,Production       ,Aerial,30-08-1965,MA,Male,Hispanic,Widowed,Fully Meets,3.0,09-09-2022,2.0,1.0,5.0,12-Sep-22,Customer Service,External,Incomplete,4.0,673.02,58.0
3429.0,10-Dec-18,Area Sales Manager,PL,1,Full-Time,Zone B,Part-Time,Sales,General - Sga,06-10-1991,MA,Male,Hispanic,Widowed,Fully Meets,4.0,27-05-2023,1.0,2.0,1.0,13-Aug-22,Leadership Development,External,Failed,2.0,413.28,27.0
3430.0,21-Jun-21,Area Sales Manager,CCDR,1,Contract,Zone A,Full-Time,Sales,Finance & Accounting,04-04-1998,ND,Male,Other,Single,Fully Meets,2.0,16-06-2023,5.0,5.0,4.0,15-Dec-22,Project Management,External,Completed,3.0,663.78,23.0
3431.0,29-Jun-19,Area Sales Manager,TNS,1,Contract,Zone A,Temporary,Sales,General - Con,29-08-1969,FL,Female,Other,Married,Fully Meets,3.0,25-11-2022,2.0,5.0,3.0,13-Jul-23,Technical Skills,External,Failed,5.0,399.03,50.0
3432.0,17-Jan-20,Area Sales Manager,BPC,1,Contract,Zone B,Full-Time,Sales,Field Operations,03-04-1949,CT,Male,Black,Married,Fully Meets,3.0,12-12-2022,2.0,3.0,5.0,18-Apr-23,Project Management,Internal,Passed,2.0,820.33,71.0
3433.0,06-Apr-22,Area Sales Manager,WBL,1,Full-Time,Zone B,Temporary,Sales,General - Eng,01-07-1942,CA,Female,Hispanic,Divorced,Exceeds,4.0,25-03-2023,1.0,5.0,2.0,06-Aug-22,Customer Service,External,Passed,5.0,295.08,80.0
3434.0,06-Nov-20,Area Sales Manager,CCDR,1,Contract,Zone C,Full-Time,Sales,Engineers,07-03-1957,OR,Female,White,Divorced,Fully Meets,2.0,21-04-2023,1.0,4.0,2.0,07-Oct-22,Leadership Development,Internal,Passed,3.0,790.15,63.0
3435.0,18-Aug-18,Area Sales Manager,NEL,1,Contract,Zone B,Part-Time,Sales,Executive,15-05-1974,TX,Male,Black,Widowed,Exceeds,3.0,09-12-2022,4.0,3.0,3.0,19-Jul-23,Customer Service,Internal,Passed,3.0,798.4,44.0
3436.0,21-Jan-22,Area Sales Manager,BPC,1,Part-Time,Zone B,Temporary,Sales,Engineers,11-11-1949,TX,Male,Asian,Widowed,Fully Meets,5.0,30-07-2023,5.0,5.0,2.0,09-Apr-23,Leadership Development,Internal,Failed,5.0,192.61,73.0
3437.0,04-Aug-23,Area Sales Manager,SVG,1,Contract,Zone B,Temporary,Sales,Field Operations,26-01-1964,IN,Female,Other,Single,Fully Meets,5.0,15-10-2022,3.0,2.0,5.0,20-Oct-22,Technical Skills,Internal,Failed,1.0,455.68,59.0
3438.0,10-Aug-18,Area Sales Manager,MSC,1,Full-Time,Zone C,Temporary,Sales,General - Con,06-04-1948,GA,Female,Asian,Married,Fully Meets,3.0,28-10-2022,4.0,2.0,5.0,05-Oct-22,Technical Skills,Internal,Failed,2.0,208.17,70.0
3439.0,25-May-22,Area Sales Manager,EW,1,Full-Time,Zone A,Temporary,Sales,Splicing,24-11-1981,CO,Male,Other,Single,Fully Meets,3.0,30-10-2022,1.0,2.0,5.0,09-Mar-23,Technical Skills,External,Incomplete,1.0,421.07,41.0
3440.0,05-Dec-19,Area Sales Manager,CCDR,1,Contract,Zone A,Full-Time,Sales,Finance & Accounting,06-11-1951,KY,Female,White,Divorced,Fully Meets,3.0,24-09-2022,1.0,4.0,5.0,29-May-23,Communication Skills,External,Failed,1.0,649.03,68.0
3441.0,28-Apr-19,Area Sales Manager,BPC,1,Part-Time,Zone A,Part-Time,Sales,General - Con,21-11-1989,NV,Male,Asian,Widowed,Exceeds,4.0,30-10-2022,4.0,2.0,5.0,08-Jan-23,Project Management,Internal,Passed,4.0,450.2,30.0
3442.0,09-Jul-19,Area Sales Manager,PYZ,1,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,24-11-1952,MA,Male,Black,Single,Exceeds,2.0,31-10-2022,2.0,5.0,3.0,06-Mar-23,Project Management,External,Failed,4.0,286.87,67.0
3443.0,05-Apr-21,Area Sales Manager,WBL,1,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,08-04-1994,KY,Male,Asian,Widowed,Fully Meets,3.0,29-04-2023,2.0,2.0,4.0,18-Feb-23,Technical Skills,External,Failed,3.0,402.13,27.0
